FirmCode,FirmName,IsActive,IsConsultant,ConsultantType,Is1099,Website,VendorType,Note,NetDays,EIN,PayToAddress_Phone,PayToAddress_Street1,PayToAddress_Street2,PayToAddress_Street3,PayToAddress_Street4,PayToAddress_City,PayToAddress_State,PayToAddress_Zip,PayToAddress_Country,MainContact_Prefix,MainContact_Suffix,MainContact_Title,MainContact_FirstName,MainContact_LastName,MainContact_WorkPhone,MainContact_CellPhone,MainContact_WorkEmail,MainContact_HomeEmail,EnableEFT,CompanyID,CompanyName,ABA/Routing,Account#,Savings,EFType(SEC),_AltPhone,_MainEmail
ORL-VND-00178,Gentleman Jack of Winter Park,TRUE,,,,,,,,,,1601 Hibiscus Avenue,,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00179,"Glazing Consultants International, LLC",TRUE,,,,,,,,,561-689-0055,2460 Metrocentre Blvd,,,,West Palm Beach,FL,33407,,,,,,,,,,,,,,,,,,,
ORL-VND-00180,Gleckler & Sons,TRUE,,,,,,,,,,P O Box 12267,,,,Jacksonville,FL,32209,,,,,,,,,,,,,,,,,,,
ORL-VND-00181,GPK Fund II LLC,TRUE,,,,,,,,,,Attn:  Yayao He,47-05 5th Street,,,Long Island City,NY,11101,,,,,,,,,,,,,,,,,,,
ORL-VND-00182,Gray Robinson Attorneys at Law,TRUE,,,,,,,,,,P. O. Box 3068,,,,Orlando,FL,32802-3068,,,,,,,,,,,,,,,,,,,
ORL-VND-00183,GreenPlay LLC,TRUE,,,,,,,,,,1021 E. South Boulder Road,Suite N,,,Louisville,CO,80027,,,,,,,,,,,,,,,,,,,
ORL-VND-00184,Guardian,TRUE,,,,,,,,,,P O Box 824467,,,,Philadelphia,PA,19182-4467,,,,,,,,,,,,,,,,,,,
ORL-VND-00185,Guidewell Emergency Medicine Doctors,TRUE,,,,,,,,,407-801-8400,113 North Orlando Avenue,,,,Winter Park,FL,32789-3675,,,,,,,,,,,,,,,,,,,
ORL-VND-00186,"Harris Civil Engineers, LLC",TRUE,,,,,,,,,,1200 East Hillcrest Street,Suite 200,,,Orlando,FL,32803,,,,,,,,,,,,,,,,,,,
ORL-VND-00187,Harris Heating and Air,TRUE,,,,,,,,,,9908 Red Clover Avenue,,,,Orlando,FL,32824,,,,,,,,,,,,,,,,,,,
ORL-VND-00188,Heather Cunningham,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00189,Hertz,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00190,"HHLA, Inc.",TRUE,,,,,,,,,407-473-1722,711 33rd Street,,,,Orlando,FL,37789,,,,,,,,,,,,,,,,,,,
ORL-VND-00191,Hillstone,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00192,HKS Architects Inc.,TRUE,,,,,,,,,,P O Box 731121,,,,Dallas,TX,75373-1121,,,,,,,,,,,,,,,,,,,
ORL-VND-00193,Holly Cunningham,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00194,Hudson Everly,TRUE,,,,,,,,,,2548 Industrial Blvd,,,,Orlando,FL,32804,,,,,,,,,,,,,,,,,,,
ORL-VND-00195,"Human Capital Pursuit, LLC",TRUE,,,,,,,,,,"101 W. Venice Avenue, Unit 34",,,,Venice,FL,34285,,,,,,,,,,,,,,,,,,,mcash@hcpursuit.com
ORL-VND-00196,Hyatt,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00197,Ian DeLong,TRUE,,,,,,,,,,5357 Chatas Lane,,,,Orlando,FL,32814,,,,,,,,,,,,,,,,,,,
ORL-VND-00198,Ian Espinoza Associates,TRUE,,,,,,,,,818-859-7240,2000 West Magnolia Blvd.,Suite 201,,,Burbank,CA,91506,,,,,,,,,,,,,,,,,,,info@ianespinoza.com
ORL-VND-00199,Iberia,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00200,Impact Electric,TRUE,,,,,,,,,407-747-0874,851 Little Fawn Court,,,,Winter Springs,FL,32708,,,,,,,,,,,,,,,,,,,zachary.edler@yahoo.com
ORL-VND-00201,Incorp Services Inc.,TRUE,,,,,,,,,,PO Box 94438,,,,Las Vegas,NV,89193-4438,,,,,,,,,,,,,,,,,,,
ORL-VND-00202,"Ingenuity Engineers, Inc.",TRUE,,,,,,,,,,6275 Hazeltine National Drive,,,,Orlando,FL,32822,,,,,,,,,,,,,,,,,,,
ORL-VND-00203,Interface Americas,TRUE,,,,,,,,,,Interface Flor,1503 Orchard Hill Road,,,LaGrange,GA,30240,,,,,,,,,,,,,,,,,,,
ORL-VND-00204,International Code Council,TRUE,,,,,,,,,,25442 Network Place,,,,Chicago,IL,60673-1254,,,,,,,,,,,,,,,,,,,
ORL-VND-00205,International Press,TRUE,,,,,,,,,407-425-6519,997 West Kennedy Blvd,Suite A-1,,,Orlando,FL,32810,,,,,,,,,,,,,,,,,,,
ORL-VND-00206,Internet Corporation Listing Service,TRUE,,,,,,,,,,303 Park Avenue S. #1073,,,,New York,NY,10010,,,,,,,,,,,,,,,,,,,
ORL-VND-00207,J & S Pro Install,TRUE,,,,,,,,,,3742 Cedar Hammock Trail,,,,St. Cloud,FL,34772,,,,,,,,,,,,,,,,,,,
ORL-VND-00208,J Adams,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00209,Jack Jennings & Sons Inc.,TRUE,,,,,,,,,,1030 Wilfred  Drive,,,,Orlando,FL,32803,,,,,,,,,,,,,,,,,,,
ORL-VND-00210,Jackson Collingsworth & Johnson,TRUE,,,,,,,,,321-445-1117,2208 Hillcrest Street,,,,Orlando,FL,32803,,,,,,,,,,,,,,,,,,,
ORL-VND-00211,"James S. Luke, PE",TRUE,,,,,,,,,,702 Sybilwood Circle,,,,Winter Springs,FL,32708,,,,,,,,,,,,,,,,,,,
ORL-VND-00212,Janet E. O'Herron,TRUE,,,,,,,,,386-479-1700,1170 Lake Helen Osteen Road,,,,Lake Helen,FL,32744,,,,,,,,,,,,,,,,,,,
ORL-VND-00213,"Jay Ammon Architect, Inc.",TRUE,,,,,,,,,,3246 Lakeview Oaks Drive,,,,Longwood,FL,32779,,,,,,,,,,,,,,,,,,,
ORL-VND-00214,Jeffrey Blydenburgh Architect LLC,TRUE,,,,,,,,,,204 Genius Drive,,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00215,Jennifer Adams,TRUE,,,,,,,,,,1433 Lone  Feather Trail,,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00216,Jennifer Webb-Melton,TRUE,,,,,,,,,,JWM,205 Aqua Way,,,Oviedo,FL,32765,,,,,,,,,,,,,,,,,,,
ORL-VND-00217,Joanne Adams,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00218,"John J. Christie & Associates, Inc.",TRUE,,,,,,,,,,1079 West Morse Blvd.,Suite C,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00219,John M. Rife Consulting,TRUE,,,,,,,,,,427 South New York Avenue,Suite 204,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00220,Jos. A Banks,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00221,Joseph Lawrence and Company,TRUE,,,,,,,,,,"1180 Harwood Avenue, Suite 3000",,,,Altamonte Springs,FL,32714,,,,,,,,,,,,,,,,,,,
ORL-VND-00222,Joseph Sellards Lighting,TRUE,,,,,,,,,321-377-7622,706 West Fairbanks Avenue,,,,Orlando,FL,32804,,,,,,,,,,,,,,,,,,,
ORL-VND-00223,"Kaye Acoustics, Inc",TRUE,,,,,,,,,,PO Box 4297,,,,Winter Park,FL,32793,,,,,,,,,,,,,,,,,,,
ORL-VND-00224,Keep Seminole Beautiful,TRUE,,,,,,,,,,Friends of the Park,527 Queens Mirror Circle,,,Casselberry,FL,32707,,,,,,,,,,,,,,,,,,,
ORL-VND-00225,Ken Jarman,TRUE,,,,,,,,,,,,,,,KY,,,,,,,,,,,,,,,,,,,,
ORL-VND-00226,Kevin Solomon,TRUE,,,,,,,,,386-864-1142,54 Parkview Drive,,,,Palm Coast,FL,32164,,,,,,,,,,,,,,,,,,,
ORL-VND-00227,KeyCom Telecommunications,TRUE,,,,,,,,,,130 Atlantic Drive,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00228,Kingstana LLC,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00229,Kingston LLC,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00230,"Kinsella Marsh Group, Inc",TRUE,,,,,,,,,305-868-1531,4045 Sheridan Avenue,Suite 420,,,Miami Beach,FL,33140,,,,,,,,,,,,,,,,,,,
ORL-VND-00231,Kwame Boaitey,TRUE,,,,,,,,,,P O Box 837,,,,Apopka,FL,32704,,,,,,,,,,,,,,,,,,,
ORL-VND-00232,Kylie Brownewell,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00233,LADD,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00234,"LADD International, Inc.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00235,Lamm and Company Partners,TRUE,,,,,,,,,,968 Lake Baldwin Lane,,,,Orlando,FL,32814,,,,,,,,,,,,,,,,,,,
ORL-VND-00236,Land Design,TRUE,,,,,,,,,704-333-0325,PO Box 36959,,,,Charlotte,NC,28236-6959,,,,,,,,,,,,,,,,,,,
ORL-VND-00237,"Laurence C. Hames, Esq",TRUE,,,,,,,,,,P O Box 2706,,,,Winter Park,FL,32790,,,,,,,,,,,,,,,,,,,
ORL-VND-00238,"LCM Architects, LLC",TRUE,,,,,,,,,,819 S. Wabash Avenue,Suite 509,,,Chicago,IL,60605,,,,,,,,,,,,,,,,,,,
ORL-VND-00239,Libra  Design Group,TRUE,,,,,,,,,407-649-1828,P O Box 547368,,,,Orlando,FL,32804,,,,,,,,,,,,,,,,,,,
ORL-VND-00240,LifeComp,TRUE,,,,,,,,,,Mail Code 5190,PO Box 21008,,,Greensboro,NC,27420,,,,,,,,,,,,,,,,,,,
ORL-VND-00241,Lincoln Benefit Life,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00242,Lincoln Lifecomp,TRUE,,,,,,,,,,Maiilcode 5190,P O Box 21008,,,Greensboro,NC,27420-1008,,,,,,,,,,,,,,,,,,,
ORL-VND-00243,Lincoln National Life Ins Co,TRUE,,,,,,,,,,P. O. Box 7949,,,,Phiiladelphia,PA,19101-7949,,,,,,,,,,,,,,,,,,,
ORL-VND-00244,Litchford & Christopher,TRUE,,,,,,,,,,P O Box 1549,,,,Orlando,FL,32802,,,,,,,,,,,,,,,,,,,
ORL-VND-00245,LLR-Architectural Board,TRUE,,,,,,,,,,P O Box 11419,,,,Columbia,SC,29211-1419,,,,,,,,,,,,,,,,,,,
ORL-VND-00246,LLR - Architectural Board,TRUE,,,,,,,,,,Post Office Box 11419,,,,Columbia,SC,29211-1419,,,,,,,,,,,,,,,,,,,
ORL-VND-00247,Logan Laughlin,TRUE,,,,,,,,,,1700 Meeting Place,#211,,,Orlando,FL,32814,,,,,,,,,,,,,,,,,,,
ORL-VND-00248,Louis C. Rotundo,TRUE,,,,,,,,,407-491-5100,302 Pinestraw Circle,,,,Altamonte Springs,FL,32714,,,,,,,,,,,,,,,,,,,lcr5002@aol.com
ORL-VND-00249,Luxus Build,TRUE,,,,,,,,,,268 Ringwood Drive,,,,Winter Springs,FL,32708,,,,,,,,,,,,,,,,,,,
ORL-VND-00250,"Lykes Insurance, Inc.",TRUE,,,,,,,,,,P O Box 2703,,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00251,M B Financial Services,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00252,"Madden Moorhead & Glunt, Inc.",TRUE,,,,,,,,,,431 East Horatio Avenue,Suite 260,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00253,Maitland Chamber of Commerce,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00254,Maitland Civic Center,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00255,Maitland Mens Club,TRUE,,,,,,,,,,PO Box 947711,,,,Maitland,FL,32794-7711,,,,,,,,,,,,,,,,,,,
ORL-VND-00256,Make a Wish Foundation of Central FL,TRUE,,,,,,,,,,1020 N. Orlando Avenue,Suite 100,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00257,Marcello's Upholstery,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00258,Margolin Hebrew Academy,TRUE,,,,,,,,,,390 South White Station,,,,Memphis,TN,38117,,,,,,,,,,,,,,,,,,,
ORL-VND-00259,Marie Sarich,TRUE,,,,,,,,,,1065 Old South Lane,,,,Apopka,FL,,,,,,,,,,,,,,,,,,,,
ORL-VND-00260,Massey Communications,TRUE,,,,,,,,,407-581-4222,1736 33rd Street,,,,Orlando,FL,32839,,,,,,,,,,,,,,,,,,,
ORL-VND-00261,Matern Engineering,TRUE,,,,,,,,,407-740-5020 xt 235,130 Candace Drive,,,,Maitland,FL,32751-3331,,,,,,,,,,,,,,,,,,,abaus@matern.net
ORL-VND-00262,Matt Phelps,TRUE,,,,,,,,,407-269-9437,220 Sandlewood Trail,,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00263,"McClanathan, Burg & Associates, LLC",TRUE,,,,,,,,,,"150 Second Avenue North, Suite 600",,,,St. Petersburg,FL,33731,,,,,,,,,,,,,,,,,,,
ORL-VND-00264,"McIntyre Management Group, LLC",TRUE,,,,,,,,,,4414 Stonebridge Road,,,,Destin,FL,32541,,,,,,,,,,,,,,,,,,,
ORL-VND-00265,"McKinnon Associates, Inc.",TRUE,,,,,,,,,407-341-0341,P O Box 2270,,,,Winter Park,FL,32790,,,,,,,,,,,,,,,,,,,ghm32789@aol.com
ORL-VND-00266,"McNamara/Salvia, Inc.",TRUE,,,,,,,,,,101 Federal Suite 1100,,,,Boston,MA,02110,,,,,,,,,,,,,,,,,,,
ORL-VND-00267,"Mead Botanical Garden, Inc.",TRUE,,,,,,,,,,Attn:  Linda Keen,PO  Box 1227,,,Winter Park,FL,32790,,,,,,,,,,,,,,,,,,,
ORL-VND-00268,Melissa Tully,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00269,"Mestagh, Wall & Hamilton",TRUE,,,,,,,,,,280 W. Canton Avenue,Suite 110,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00270,Metlife SBC,TRUE,,,,,,,,,,Group Benefits,P O Box 804466,,,Kansas City,MO,64180-4466,,,,,,,,,,,,,,,,,,,
ORL-VND-00271,Michael Marcial,TRUE,,,,,,,,,,7839 Antibes Ct.,,,,Orlando,FL,32825,,,,,,,,,,,,,,,,,,,
ORL-VND-00272,"MiGre Engineers, LLC",TRUE,,,,,,,,,,1200 W. State Road 434,Suite 301,,,Longwood,FL,32750,,,,,,,,,,,,,,,,,,,
ORL-VND-00273,"Millers Hardware, Inc.",TRUE,,,,,,,,,,143 Fairbanks Avenue,,,,Winter Park,FL,32789-4437,,,,,,,,,,,,,,,,,,,
ORL-VND-00274,Modern Plumbing,TRUE,,,,,,,,,,255 Old Sanford Oviedo Road,,,,Winter Springs,FL,32708,,,,,,,,,,,,,,,,,,,
ORL-VND-00275,Montana Design Associates,TRUE,,,,,,,,,,P O Box 730,,,,Winter Park,FL,32790-0730,,,,,,,,,,,,,,,,,,,
ORL-VND-00276,MSI,TRUE,,,,,,,,,614-621-2796,462 South Ludlow Alley,,,,Columbus,OH,43215,,,,,,,,,,,,,,,,,,,
ORL-VND-00277,Murray Lamb,TRUE,,,,,,,,,,1680 W. Lake Brantley Rd,,,,Longwood,FL,32779,,,,,,,,,,,,,,,,,,,
ORL-VND-00278,Nancy Talaga,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00279,NCARB,TRUE,,,,,,,,,,1401 H Street NW Suite 500,,,,Washington,DC,20005,,,,,,,,,,,,,,,,,,,
ORL-VND-00280,"Ndeavor, Inc.",TRUE,,,,,,,,,,Mr. Ted Hunter,5906 Winchester Isle Road,,,Orlando,FL,32829,,,,,,,,,,,,,,,,,,,TED.HUNTER.DEV@GMAIL.COM
ORL-VND-00281,Nebs,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00282,NFPA,TRUE,,,,,,,,,,Billing Center,P. O. Box 9689,,,Manchester,NH,03108-9689,,,,,,,,,,,,,,,,,,,
ORL-VND-00283,Norman Jacknis,TRUE,,,,,,,,,,39 Mountainside Trail,,,,Cortlandt Manor,NY,10567,,,,,,,,,,,,,,,,,,,
ORL-VND-00284,Nue Urban Concepts,TRUE,,,,,,,,,352-363-0614,2579 SW 87th Drive,,,,Gainesville,FL,32608,,,,,,,,,,,,,,,,,,,
ORL-VND-00285,Odonnel Agency,TRUE,,,,,,,,,,525 Okeechobee Blvd. Ste 980,,,,West Palm Beach,FL,33401,,,,,,,,,,,,,,,,,,,
ORL-VND-00286,Office Depot,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00287,Olivia Cunningham,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00288,Online Transfer to CC 4819,TRUE,,,,,,,,,,,,,,Online Transfer to CC,,4819,,,,,,,,,,,,,,,,,,,
ORL-VND-00289,Online Transfer to CC 4827,TRUE,,,,,,,,,,,,,,Online Transfer to CC,,4827,,,,,,,,,,,,,,,,,,,
ORL-VND-00290,Orange County Tax Collector,TRUE,,,,,,,,,,P O Box 545100,,,,Orlando,FL,32854-5100,,,,,,,,,,,,,,,,,,,
ORL-VND-00291,Originals by Alex,TRUE,,,,,,,,,,11338 Ledgement Lane,,,,Windermere,FL,34786,,,,,,,,,,,,,,,,,,,
ORL-VND-00292,Orlando Business Journal,TRUE,,,,,,,,,,P. O. Box 403844,,,,Atlanta,GA,30384-3844,,,,,,,,,,,,,,,,,,,
ORL-VND-00293,Orlando Intl,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00294,Osborn Engineering,TRUE,,,,,,,,,216-861-2020,1111 Superior Avenue,Suite 2100,,,Cleveland,OH,44114,,,,,,,,,,,,,,,,,,,osborn-eng.com
ORL-VND-00295,P C Electric,TRUE,,,,,,,,,407-529-4138,3044 Salisbury Cove,,,,Oviedo,FL,32765,,,,,,,,,,,,,,,,,,,Pierreelectric38@yahoo.com
ORL-VND-00296,Pam Rishoi,TRUE,,,,,,,,,,1630 Apache Trail,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00297,Panda Kitchen and Bath,TRUE,,,,,,,,,,9421 S. Orange Blossom Trail,Unit 3,,,Orlando,FL,32837,,,,,,,,,,,,,,,,,,,
ORL-VND-00298,Panera,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00299,Partsfleet,TRUE,,,,,,,,,,"2251 Lynx Lane, Suite 5",,,,Orlando,FL,32804,,,,,,,,,,,,,,,,,,,
ORL-VND-00300,Paskert Divers Thompson,TRUE,,,,,,,,,,"100 North Tampa Street, Suite 3700",,,,Tampa,FL,33602,,,,,,,,,,,,,,,,,,,
ORL-VND-00301,Paul Taylor,TRUE,,,,,,,,,,3762 Lower Union Road,,,,Orlando,FL,32814,,,,,,,,,,,,,,,,,,,
ORL-VND-00302,PDH Academy,TRUE,,,,,,,,,,PO Box 449,,,,Pewaukee,WI,53072,,,,,,,,,,,,,,,,,,,
ORL-VND-00303,Peach Valley,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00304,Peninsula Engineering Inc.,TRUE,,,,,,,,,407-246-1688,2016 Alden Road,,,,Orlando,FL,32803,,,,,,,,,,,,,,,,,,,
ORL-VND-00305,Performing Arts of Maitland,TRUE,,,,,,,,,,117 Whitecaps Circle,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00306,Pina Ferlaino,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00307,"Pinel & Carpenter, Inc.",TRUE,,,,,,,,,407-648-2199,824 North Highland Avenue,,,,Orlando,FL,32803,,,,,,,,,,,,,,,,,,,
ORL-VND-00308,Pinnacle Infotech Inc.,TRUE,,,,,,,,,888-8768783,50 Sugar Creek Center Blvd.,Suite 350,,,Sugar Land,TX,77478,,,,,,,,,,,,,,,,,,,accounting@pinnaclecad.com
ORL-VND-00309,PNC Bank,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00310,Principal,TRUE,,,,,,,,,,711 High Street,,,,Des Moines,IA,50362-1520,,,,,,,,,,,,,,,,,,,
ORL-VND-00311,Private Business Association of Seminole,TRUE,,,,,,,,,,P O Box 950505,,,,Lake Mary,FL,32795-0505,,,,,,,,,,,,,,,,,,,
ORL-VND-00312,Pro-Tek Services,TRUE,,,,,,,,,,598 Northlake Blvd. Suite 1016,,,,Altamonte Springs,FL,32701,,,,,,,,,,,,,,,,,,,
ORL-VND-00313,Professional Service Bureau,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00314,Project for Public Spaces,TRUE,,,,,,,,,,Attn:  Ms. Eleina Olonetsky,Vice President,,,New York,NY,10003,,,,,,,,,,,,,,,,,,,
ORL-VND-00315,"Project Management Advisors, Inc.",TRUE,,,,,,,,,,250 South Park Avenue,Suite 300,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00316,Prudential,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00317,Pt Design Studio,TRUE,,,,,,,,,,3762 Lower Union Road,,,,Orlando,FL,32814,,,,,,,,,,,,,,,,,,,
ORL-VND-00318,PT Design Studio LLC,TRUE,,,,,,,,,,3762 Lower Union Road,,,,Orlando,FL,32814,,,,,,,,,,,,,,,,,,,
ORL-VND-00319,Publix,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00320,Quality First,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00321,Quest Company,TRUE,,,,,,,,,,1180 Spring Centre South Blvd.,Suite 102,,,Altamonte Springs,FL,32714,,,,,,,,,,,,,,,,,,,
ORL-VND-00322,Quietly Making Noise LLC,TRUE,,,,,,,,,407-681-7444,4521 Old Carriage Trail,,,,Oviedo,FL,32765,,,,,,,,,,,,,,,,,,,
ORL-VND-00323,Quill,TRUE,,,,,,,,,,P O Box 37600,,,,Philadelphia,PA,19101-0600,,,,,,,,,,,,,,,,,,,
ORL-VND-00324,Quill Corporation,TRUE,,,,,,,,,,P O Box 37600,,,,Philadelphia,PA,19101-0600,,,,,,,,,,,,,,,,,,,
ORL-VND-00325,Randall Glidden,TRUE,,,,,,,,,,612 Dunblane Drive,,,,Winter Park,FL,32792,,,,,,,,,,,,,,,,,,,
ORL-VND-00326,Randstad,TRUE,,,,,,,,,,Mail Code 5602,P. O. Box 105046,,,Atlanta,GA,30348-5046,,,,,,,,,,,,,,,,,,,
ORL-VND-00327,Red Horse Ventures,TRUE,,,,,,,,,,Mr. John Paccione,1513 Hunters Mill Place,,,Oviedo,FL,32765,,,,,,,,,,,,,,,,,,,
ORL-VND-00328,RediCheck,TRUE,,,,,,,,,770-631-4430,"109 Greensway, Ste 100",,,,Peachtree City,GA,30269,,,,,,,,,,,,,,,,,,,bnigro@redicheck.biz
ORL-VND-00329,Republican Party of Seminole County,TRUE,,,,,,,,,,County,P O Box 151643,,,Altamonte Springs,FL,32715,,,,,,,,,,,,,,,,,,,
ORL-VND-00330,RIB Software North America Inc.,TRUE,,,,,,,,,,Dept. 350,P. O. Box 4458,,,Houston,TX,77210-4458,,,,,,,,,,,,,,,,,,,
ORL-VND-00331,Right Networks,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00332,RLI,TRUE,,,,,,,,,,P O Box 779030,,,,Chicago,IL,60677-9030,,,,,,,,,,,,,,,,,,,
ORL-VND-00333,RLI Insurance Co Dept 3350,TRUE,,,,,,,,,,P O Box 844122,,,,Kansas City,MO,64184-4122,,,,,,,,,,,,,,,,,,,
ORL-VND-00334,RLI Insurance Company Retail,TRUE,,,,,,,,,,PO Box 779030,,,,Chicago,IL,60677-9030,,,,,,,,,,,,,,,,,,,
ORL-VND-00335,Ron Alqallaf,TRUE,,,,,,,,,386-416-9349,436 Palmetto Street,,,,Edgewater,FL,32132,,,,,,,,,,,,,,,,,,,
ORL-VND-00336,Sanrachna Global Infotech Inc.,TRUE,,,,,,,,,,"1 Auer Ct, 2nd Floor",,,,East Brunswick,NJ,08816,,,,,,,,,,,,,,,,,,,
ORL-VND-00337,Sanrachna M/S,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00338,"Sara Brady Pupblic Relations, Inc.",TRUE,,,,,,,,,407-702-6632,"222 W. Comstock Avenue, #215",,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00339,SC Department of Revenue,TRUE,,,,,,,,,,Corporate Tax,,,,Columbia,SC,29214-0100,,,,,,,,,,,,,,,,,,,
ORL-VND-00340,SC DOR,TRUE,,,,,,,,,,SC Dept of Revenue Tax Compliance,300AOutlet Pointe Blvd.,,,Columbia,SC,29210,,,,,,,,,,,,,,,,,,,
ORL-VND-00341,SCB Marketing,TRUE,,,,,,,,,,P O Box 410901,,,,Melbourne,FL,32941,,,,,,,,,,,,,,,,,,,
ORL-VND-00342,SCDOR,TRUE,,,,,,,,,,Corporate Taxable,PO Box 100151,,,Columbia,SC,29202,,,,,,,,,,,,,,,,,,,
ORL-VND-00343,"Schutt Installations, Inc.",TRUE,,,,,,,,,407-325-0322,4119 Meadowbrook Avenue,,,,Orlando,FL,32808,,,,,,,,,,,,,,,,,,,
ORL-VND-00344,Scott Randolph Orange Cty Tax Collector,TRUE,,,,,,,,,,P. O. Box 545100,,,,Orlando,FL,32854-5100,,,,,,,,,,,,,,,,,,,
ORL-VND-00345,Secretary of State,TRUE,,,,,,,,,,South Carolina,1205 Pendleton Street,,,Columbia,SC,29201,,,,,,,,,,,,,,,,,,,
ORL-VND-00346,Sellards Lighting Inc,TRUE,,,,,,,,,,2608 Derbyshire Road,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00347,Servpro of Winter Park 9899,TRUE,,,,,,,,,,P O Box 337,,,,Winter Park,FL,32790,,,,,,,,,,,,,,,,,,,
ORL-VND-00348,"Sesco Liglhting, Inc.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00349,SGM Engineering,TRUE,,,,,,,,,,935 Lake Baldwin Lane,,,,Orlando,FL,32814,,,,,,,,,,,,,,,,,,,
ORL-VND-00350,ShredPros,TRUE,,,,,,,,,,1460 Shell Mound Road,,,,Deltona,FL,32725,,,,,,,,,,,,,,,,,,,
